Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2014-01-01,Adelaide,4.5,22.4,0.0,3.2,5.8,E,42.0,S,SE,15.0,32.0,69.0,53.0,1019.3,,6.0,,8.4,22.1,No,No
2014-01-02,Brisbane,5.3,25.8,5.4,7.8,3.2,SE,34.0,SE,SE,25.0,20.0,100.0,100.0,1008.1,,,,9.5,20.9,Yes,Yes
2014-01-03,Canberra,16.3,24.6,20.2,7.7,4.0,SE,60.0,,NNE,45.0,41.0,100.0,94.0,1007.9,1013.3,8.0,,22.5,22.5,Yes,Yes
2014-01-04,Perth,7.5,22.4,3.3,7.9,4.2,E,41.0,SW,NNE,25.0,32.0,95.0,87.0,1018.0,1020.4,8.0,6.0,11.9,19.5,Yes,Yes
2014-01-05,Sydney,7.1,21.3,6.3,,0.0,S,31.0,E,N,12.0,13.0,80.0,63.0,1008.8,1006.4,6.0,2.0,10.9,21.1,Yes,Yes
2014-01-06,Canberra,14.7,33.3,6.3,7.9,4.7,NW,48.0,SW,NW,30.0,35.0,100.0,72.0,1005.4,1004.5,8.0,6.0,17.4,32.4,Yes,Yes
2014-01-07,Adelaide,9.8,24.1,10.1,4.0,10.6,E,39.0,E,NNE,21.0,22.0,100.0,85.0,1013.5,1015.9,8.0,7.0,16.8,21.6,Yes,Yes
2014-01-08,Adelaide,14.8,28.0,0.0,5.7,4.8,NNE,35.0,N,SE,13.0,29.0,56.0,46.0,1014.1,1010.9,3.0,3.0,20.0,25.8,No,No
2014-01-09,Sydney,25.9,36.6,0.0,6.3,5.3,NE,38.0,NE,SW,15.0,18.0,81.0,87.0,1016.0,1019.5,4.0,,27.6,35.3,No,Yes
2014-01-10,Brisbane,12.8,26.7,2.4,8.7,,NE,16.0,W,NW,6.0,11.0,77.0,57.0,1018.6,1017.9,4.0,5.0,14.6,22.7,Yes,No
2014-01-11,Melbourne,23.2,32.9,1.4,5.0,12.2,SW,34.0,NE,,13.0,25.0,70.0,55.0,1023.6,1026.0,6.0,7.0,27.6,28.4,Yes,No
2014-01-12,Canberra,18.8,33.9,18.8,4.5,0.3,S,64.0,NW,NNE,37.0,30.0,100.0,90.0,1012.1,1011.5,6.0,8.0,23.7,32.5,Yes,Yes
2014-01-13,Perth,4.5,17.4,0.0,2.3,4.9,NE,36.0,W,NE,23.0,28.0,84.0,57.0,1018.7,1017.2,6.0,5.0,7.5,14.0,No,Yes
2014-01-14,Adelaide,6.4,20.7,13.1,,4.5,SW,26.0,N,N,19.0,15.0,65.0,61.0,1006.3,1004.2,6.0,6.0,7.5,19.9,Yes,No
2014-01-15,Brisbane,10.1,24.9,1.4,6.2,8.4,NNE,38.0,W,NNE,28.0,16.0,67.0,59.0,1012.0,1017.2,2.0,6.0,14.9,24.4,Yes,No
2014-01-16,Melbourne,4.5,19.7,0.0,,9.5,N,44.0,S,W,30.0,30.0,82.0,70.0,1018.2,1017.3,8.0,8.0,6.3,18.8,No,No
2014-01-17,Brisbane,14.9,25.1,11.0,7.0,1.0,NNE,43.0,S,NE,16.0,17.0,100.0,91.0,1008.1,1017.3,8.0,5.0,19.2,24.3,Yes,Yes
2014-01-18,Sydney,18.4,32.1,0.0,5.0,6.3,,35.0,N,NE,18.0,29.0,50.0,29.0,1018.2,1018.6,4.0,2.0,24.9,29.7,No,No
2014-01-19,Adelaide,20.1,39.6,6.3,3.3,,NW,38.0,E,,14.0,24.0,43.0,24.0,1006.8,1004.2,3.0,0.0,24.0,38.6,Yes,No
2014-01-20,Perth,18.2,27.3,2.6,8.1,8.3,NNE,47.0,SE,SE,29.0,38.0,100.0,74.0,1027.5,1022.7,8.0,5.0,20.2,26.0,Yes,Yes
2014-01-21,Adelaide,10.8,28.1,13.0,,5.9,SW,39.0,,W,16.0,27.0,99.0,79.0,1011.1,1014.8,7.0,6.0,15.0,27.0,Yes,Yes
2014-01-22,Melbourne,-2.7,14.4,7.8,,5.1,N,51.0,S,E,31.0,42.0,100.0,86.0,1012.8,1012.2,8.0,6.0,-1.1,11.2,Yes,Yes
2014-01-23,Canberra,14.2,30.1,1.3,5.6,10.7,W,36.0,SE,NW,16.0,23.0,88.0,76.0,1011.1,1013.6,8.0,7.0,20.0,25.5,Yes,No
2014-01-24,Canberra,16.1,29.9,11.1,2.4,5.0,SW,62.0,NE,NW,38.0,34.0,83.0,64.0,1024.0,1030.9,6.0,6.0,20.3,28.5,Yes,Yes
2014-01-25,Adelaide,14.2,27.1,3.8,6.3,5.1,NE,35.0,SE,E,23.0,15.0,35.0,21.0,1004.7,1006.7,3.0,2.0,17.5,25.8,Yes,No
2014-01-26,Sydney,28.1,42.2,2.0,4.3,9.5,,26.0,NNE,N,12.0,14.0,67.0,51.0,1009.3,1010.3,7.0,5.0,32.4,41.6,Yes,No
2014-01-27,Brisbane,24.1,40.3,2.5,9.2,,SE,47.0,S,SE,35.0,38.0,76.0,55.0,1020.0,1023.7,,7.0,26.3,35.4,Yes,No
2014-01-28,Sydney,22.9,34.5,6.6,7.6,10.3,SW,49.0,NE,E,22.0,41.0,95.0,78.0,1014.1,1016.5,8.0,7.0,25.7,30.4,Yes,Yes
2014-01-29,Sydney,11.0,23.6,1.2,6.1,,W,44.0,W,N,17.0,18.0,53.0,35.0,1010.5,1006.7,3.0,1.0,14.1,21.7,Yes,No
2014-01-30,Perth,9.4,29.9,0.4,1.0,7.0,NE,49.0,W,SE,28.0,25.0,74.0,67.0,,1015.0,6.0,4.0,14.2,29.8,No,No
